Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
DFW-MCO,American Airlines Inc.,BOEING,984,FL,-81.3160247803,Orlando International,28.4288883209,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,699,Orlando,Dallas-Fort Worth
IAH-MKE,Expressjet Airlines Inc.,EMBRAER,984,WI,-87.8965835571,General Mitchell International,42.9472236633,-95.3397216797,George Bush Intercontinental,TX,29.9804725647,3268,Milwaukee,Houston
DFW-MCO,American Airlines Inc.,MCDONNELL DOUGLAS,984,FL,-81.3160247803,Orlando International,28.4288883209,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,2121,Orlando,Dallas-Fort Worth
DFW-MCO,American Airlines Inc.,PIPER,984,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-81.3160247803,Orlando International,FL,28.4288883209,7,Dallas-Fort Worth,Orlando
DFW-MCO,American Airlines Inc.,CESSNA,984,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-81.3160247803,Orlando International,FL,28.4288883209,28,Dallas-Fort Worth,Orlando
DFW-MCO,American Airlines Inc.,BEECH,984,FL,-81.3160247803,Orlando International,28.4288883209,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,61,Orlando,Dallas-Fort Worth
DFW-MCO,American Airlines Inc.,AERO COMMANDER,984,FL,-81.3160247803,Orlando International,28.4288883209,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,2,Orlando,Dallas-Fort Worth
DFW-MCO,AirTran Airways Corporation,BOEING,984,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-81.3160247803,Orlando International,FL,28.4288883209,824,Dallas-Fort Worth,Orlando
BTR-DCA,Comair Inc.,CANADAIR,985,LA,-91.1496353149,"Baton Rouge Metropolitan, Ryan",30.5331611633,-77.0377197266,Ronald Reagan Washington National,VA,38.8520851135,91,Baton Rouge,Arlington
BTR-DCA,Comair Inc.,BOMBARDIER INC,985,VA,-77.0377197266,Ronald Reagan Washington National,38.8520851135,-91.1496353149,"Baton Rouge Metropolitan, Ryan",LA,30.5331611633,159,Arlington,Baton Rouge
